# Mapeo de 3.6.8.8 a 3.6.9.9.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
kis		duda			
kiu		duda			
kix		duda			
kiy		duda			
kje	kje	estructura			
kji		duda			
kjj		duda			
kjl		duda			
kjo		duda			
kjs	lot	estructura			
kju		duda			
kjw		duda			
kkd		duda			
kkh		duda			
kki		duda			
kkn		duda			
kko		duda			
kkp		duda			
kks		duda			
kkx		duda			
kla		duda			
klb		duda			
kld		duda			
kle	jzm	estructura			
klh		duda			
klj		duda			
klk		duda			
klm	lvx	estructura			
klo	lvz	estructura			
klp		duda			
klq		duda			
klt		duda			
klu		duda			
klw	jql	estructura			
kly		duda			
klz		duda			
kmd	jjj	estructura			
kms	kfx	estructura			
kmu	lgx	estructura			
kmv		duda			
kmw		duda			
kmx		duda			
kmy		duda			
kmz		duda			
kna		duda			
knb		duda			
kne		duda			
knf		duda			
knh		duda			
knk		duda			
knl		duda			
knm		duda			
knn		duda			
knq		duda			
knr		duda			
kns		duda			
knu		duda			
knx		duda			
kny		duda			
knz		duda			
koa	jkv	estructura			
kob		duda			
koc		duda			
kod		duda			
koe		duda			
koj		duda			
kok		duda			
kon		duda			
kos		duda			
kot		duda			
kov		duda			
kow		duda			
koy		duda			
koz		duda			
kpb		duda			
kpc		duda			
kpd		duda			
kpe		duda			
kpf		duda			
kpg		duda			
kpk		duda			
kpl		duda			
kpq		duda			
kpr		duda			
kpv		duda			
kpy		duda			
kpz		duda			
kqa	lku	estructura			
kqe		duda			
kqh		duda			
kqi		duda			
kql		duda			
kqm		duda			
kqn	kqv	estructura			
kqp		duda			
kqq		duda			
kqr		duda			
kqs		duda			
kra	krf	estructura			
krd		duda			
krf		duda			
krh		duda			
kri		duda			
krj		duda			
krk		duda			
krl		duda			
krm		duda			
krn		duda			
krp		duda			
krq		duda			
krr		duda			
krs		duda			
krw		duda			
ksb		duda			
ksc		duda			
ksd		duda			
ksf		duda			
ksg		duda			
ksh		duda			
ksi	jrl	estructura			
ksm	kim	estructura			
ksp	ktp	estructura			
ksw	kto	estructura			
kta		duda			
ktb	ipv	estructura			
ktc		duda			
ktd	ktn	estructura			
ktg		duda			
ktj		duda			
ktk		duda			
ktl	kur	estructura			
ktm		duda			
kto		duda			
ktr		duda			
ktv		duda			
ktw		duda			
kua		duda			
kub		duda			
kuh		duda			
kui		duda			
kuj	kum	estructura			
kun		duda			
kuo		duda			
kup		duda			
kuv		duda			
kuy		duda			
kuz	kvb	estructura			
kva		duda			
kvb		duda			
kvc	kvz	estructura			
kvf		duda			
kvg		duda			
kvi		duda			
kvj		duda			
kvm		duda			
kvq	jbs	estructura			
kvr		duda			
kvs		duda			
kvt	kvq	estructura			
kvu		duda			
kvx	jgz	estructura			
kvy		duda			
kvz		duda			
kwa		duda			
kwc		duda			
kwf		duda			
kwg		duda			
kwi		duda			
kwj		duda			
kwk		duda			
kwl		duda			
kwm		duda			
kwn		duda			
kwo		duda			
kwp		duda			
kwq		duda			
kwu		duda			
kwy	kxw	estructura			
kxa		duda			
kxd		duda			
kxg		duda			
kxr		duda			
kxv	kyw	estructura			
kxw	kyx	estructura			
kxy	iwn	estructura			
kya		duda			
kyc	kzg	estructura			
kye	kzi	estructura			
kyf		duda			
kyi		duda			
kyl		duda			
kym		duda			
kyo		duda			
kyp		duda			
kyr		duda			
kyu		duda			
kyw		duda			
kyx		duda			
kyz		duda			
kze		duda			
kzh	kmu	estructura			
kzo		duda			
kzr		duda			
kzt		duda			
kzw		duda			
kzy		duda			
kzz		duda			
lbu	jqy	estructura			
lca		duda			
lcc		duda			
lce		duda			
lcf		duda			
lci		duda			
lco		duda			
lcr		duda			
lcs		duda			
lcz		duda			
ldb		duda			
lde		duda			
ldf	krc	estructura			
ldg		duda			
ldh	lmv	estructura			
ldj		duda			
ldn	lng	estructura			
ldr	jae	estructura			
lds		duda			
ldt		duda			
ldx	lon	estructura			
lec		duda			
lee		duda			
lek	lpe	estructura			
lem	lpg	estructura			
les		duda			
lev		duda			
lfc		duda			
lfe	lie	estructura			
lfh	liu	estructura			
lfp	lgy	estructura			
lfq		duda			
lgd		duda			
lge		duda			
lgh		duda			
lgi	lmo	estructura			
lgj	lko	estructura			
lgl		duda			
lgm	mah	estructura			
lgo		duda			
lgr	lgd	estructura			
lgv	hrr	estructura			
lgw	kti	estructura			
lhf		duda			
lhj		duda			
lhl		duda			
lhn	lpj	estructura			
lho		duda			
lhp		duda			
lhr		duda			
lhw		duda			
lia		duda			
lio		duda			
lis		duda			
liu		duda			
liv		duda			
lja		duda			
ljt		duda			
ljx		duda			
ljy	led	estructura			
lkc		duda			
lki		duda			
lkj		duda			
lkm		duda			
lkn		duda			
lkt		duda			
lkw		duda			
lkx		duda			
lle		duda			
llf	kfi	estructura			
llh		duda			
llm		duda			
llp	isw	estructura			
llq		duda			
llt		duda			
llv	lfe	estructura			
lma		duda			
lmb		duda			
lmd	hgb	estructura			
lmf		duda			
lmj	lpu	estructura			
lmn	lnx	estructura			
lmo		duda			
lmv	idz	estructura			
lmz		duda			
lna		duda			
lnb		duda			
lnd	kay	estructura			
lnh		duda			
lnj	lib	estructura			
lnk		duda			
lnl		duda			
lnm	lia	estructura			
lnn	iqu	estructura			
lnt	lij	estructura			
lnu		duda			
lnx		duda			
lnz		duda			
loa		duda			
lob		duda			
loj	hev	estructura			
lop		duda			
lov		duda			
lox		duda			
lpa	ixj	estructura			
lpe		duda			
lpg		duda			
lpn		duda			
lpo		duda			
lpq	jkq	estructura			
lpu	ilb	estructura			
lpv	llk	estructura			
lpw	mfy	estructura			
lpy		duda			
lpz		duda			
lqa		duda			
lqd		duda			
lqh		duda			
lqm	jkt	estructura			
lqn		duda			
lqo		duda			
lqp		duda			
lqq		duda			
lqr		duda			
lqt		duda			
lqu		duda			
lqx		duda			
lqy		duda			
lra		duda			
lrd		duda			
lre	ihh	estructura			
lrg		duda			
lrn		duda			
lro		duda			
lrr		duda			
lrt		duda			
lrw		duda			
lry		duda			
lrz		duda			
lsa		duda			
lsd		duda			
lse		duda			
lsm	lsd	estructura			
lsn		duda			
lsq		duda			
lsr		duda			
lsw		duda			
ltb		duda			
ltc		duda			
ltd		duda			
lte		duda			
ltg		duda			
ltm		duda			
ltn		duda			
lto		duda			
ltp		duda			
ltr		duda			
ltu		duda			
ltv		duda			
ltw		duda			
ltx		duda			
lty		duda			
lud	kcj	estructura			
luf		duda			
lui		duda			
luj		duda			
lul	ixd	estructura			
lup		duda			
lus		duda			
lut		duda			
luu		duda			
luy		duda			
lvb		duda			
lvc		duda			
lve		duda			
lvf		duda			
lvi		duda			
lvk	mfg	estructura			
lvl	mfl	estructura			
lvm	ioi	estructura			
lvq		duda			
lvr		duda			
lvt		duda			
lvu		duda			
lvw		duda			
lvx		duda			
lvy		duda			
lwc	jve	estructura			
lwd		duda			
lwm		duda			
lwn		duda			
lwo		duda			
lwr		duda			
lww		duda			
lwx		duda			
lwy		duda			
lwz		duda			
lxb		duda			
lxf		duda			
lxg		duda			
lxh		duda			
lxj		duda			
lxk		duda			
lxl		duda			
lxm		duda			
lxo		duda			
lxp		duda			
lxq	klm	estructura			
lxr		duda			
lxv		duda			
lxw	lww	estructura			
lxy		duda			
lxz		duda			
lya		duda			
lyd	lrc	estructura			
lye	klb	estructura			
lyf		duda			
lyg		duda			
lyh		duda			
lyk		duda			
lyl		duda			
lyo		duda			
lyp		duda			
lyr		duda			
lyv		duda			
lyw		duda			
lyz		duda			
lzc		duda			
lzd		duda			
lzh	lzv	estructura			
lzi	lzo	estructura			
lzl	lzn	estructura			
lzm	lzs	estructura			
lzn	lzp	estructura			
lzr		duda			
lzs		duda			
lzv		duda			
lzw		duda			
lzx		duda			
lzz		duda			
maa		duda			
mad		duda			
mag		duda			
mah		duda			
mak		duda			
man		duda			
maq		duda			
mas	kdg	estructura			
mau		duda			
mav		duda			
maw		duda			
may		duda			
mbe		duda			
mbj		duda			
mbk		duda			
mbl		duda			
mbm		duda			
mbn		duda			
mbr		duda			
mbs		duda			
mbu		duda			
mbv		duda			
mbw		duda			
mbx		duda			
mby		duda			
mbz		duda			
mca		duda			
mcb		duda			
mcd		duda			
mce		duda			
mcg		duda			
mci		duda			
mck		duda			
mcl		duda			
mcm		duda			
mco		duda			
mcp		duda			
mcq		duda			
mcr	mga	estructura			
mcs		duda			
mct		duda			
mcu		duda			
mcv		duda			
mcx		duda			
mcy	hjt	estructura			
mda		duda			
mde		duda			
mdj		duda			
mdk		duda			
mdp	hgc	estructura			
mdq		duda			
mdr		duda			
mdt		duda			
mdu	hfe	estructura			
mdw		duda			
mdx		duda			
meb		duda			
mec		duda			
med		duda			
mee		duda			
mef		duda			
meg		duda			
mei		duda			
mej		duda			
meq		duda			
mev		duda			
mew		duda			
mex		duda			
mey		duda			
mez		duda			
mfa		duda			
mfc		duda			
mfd	mfc	estructura			
mfe	mfa	estructura			
mff		duda			
mfl	mgv	estructura			
mfn		duda			
mfo		duda			
mfq		duda			
mfw		duda			
mfx		duda			
mfy		duda			
mgc		duda			
mgd		duda			
mge		duda			
mgf		duda			
mgh		duda			
mgi		duda			
mgj		duda			
mgl	mgr	estructura			
mgn	mgt	estructura			
mgo		duda			
mgq		duda			
mgr		duda			
mgs		duda			
mgv		duda			
mgz		duda			
mhc		duda			
mhd		duda			
